gene_short_name,FPKM
OR4G4P,0
MIR1302-2HG,0
MIR1302-2,0
-,0
OR4G11P,0
FAM138A,0
DDX11L2,0
DDX11L1,0
WASH7P,0.271339
MIR6859-1,0
-,0.753111
-,3.93418
-,0
OR4F5,0
DDX11L17,0
WASH9P,0.215802
MIR6859-2,0
-,0.0394588
-,0
CICP27,0.495075
-,2.94985
RNU6-1100P,0
-,0
-,0.31908
-,0
-,0
RPL23AP24,0.192758
-,0
CICP7,0
-,4.25196
-,0
WBP1LP7,0
OR4F29,0
-,0
U6,0
-,0
TUBB8P11,0
FAM41C,0
-,0
LINC02593,0.0911752
KLHL17,2.6629
-,0.350327
-,0
HES4,0.105252
ISG15,0.842826
-,0
-,0
RNF223,0
-,0.370771
-,0
-,0
LINC01342,0.123593
MIR200B,0
MIR200A,0
MIR429,0
-,0
TTLL10-AS1,0
TTLL10,0
TNFRSF18,0
PLEKHN1,0.13312
PERM1,0.204423
TNFRSF4,0.119252
B3GALT6,6.66932
C1QTNF12,0.565997
-,0.0649264
SAMD11,0
NOC2L,27.7684
LINC01786,0
SDF4,11.0838
SCNN1D,0.311943
C1orf159,4.29159
-,1.11864
CPTP,3.12178
MXRA8,0.52447
TAS1R3,0
DVL1,8.75362
MIR6808,0
NDUFB4P8,0
AURKAIP1,59.9264
UBE2J2,18.0406
MRPL20-DT,1.98643
ANKRD65,0.0895778
ANKRD65-AS1,0
TMEM88B,0.156725
LINC01770,0.268958
VWA1,4.78671
ATAD3C,0.0106407
ACAP3,0
INTS11,84.443
MIR6727,0
-,0
PUSL1,0
MIR6726,0
-,0
-,0
MRPL20-AS1,0
MRPL20,175.817
RN7SL657P,0
TMEM240,0.302321
AGRN,6.04653
-,0
-,0
ATAD3B,4.68946
FNDC10,6.13228
-,0.0917231
ATAD3A,1.33579
SSU72,42.5346
-,0.236573
MMP23A,0
CDK11A,6.11983
-,0.866372
-,0
SLC35E2A,0
-,0
-,0
MMP23B,0
CDK11B,7.09526
-,0
-,0
-,0
LINC00115,0
-,0
MTCO1P12,22.0897
MTCO2P12,0
CICP3,0
LINC01128,0.928737
MTND1P23,13.9215
MTND2P28,4.39087
MTATP8P1,0
MTATP6P1,643.298
MTCO3P12,0
WBP1LP6,0
OR4F16,0
-,1.04856
-,0
RNU6-1199P,0
-,0
LINC01409,0.648
-,0
FAM87B,0.47449
-,0
-,0
-,2.05062
MIB2,1.0529
CALML6,0.0358397
CFAP74,0
-,0
TMEM52,1.16185
PRKCZ-DT,0
CCNL2,13.8199
-,0
SLC35E2B,11.0127
-,1.56775
-,0
GABRD,0.609509
NADK,13.2081
SKI,22.1476
PRKCZ,0
-,0
-,0
PRKCZ-AS1,0
FAAP20,24.9466
PANK4,2.73627
HES5,0
-,0
-,0
-,0
-,0
-,0
MORN1,1.48582
-,0.160305
-,0.161876
-,0
-,0.208521
TNFRSF14-AS1,0
TNFRSF14,0
-,0
-,0
-,0
-,0
ACTRT2,0
PRDM16-DT,0.163327
TTC34,0.0272996
-,0
-,0
RER1,4.50271
PEX10,6.26413
-,0
ARHGEF16,1.53564
-,0
TPRG1L,5.22089
GNB1,41.8512
GNB1-DT,0
SMIM1,1.851
PLCH2,0
-,0
-,0
LRRC47,8.90704
-,0
RN7SL574P,0.639499
PRXL2B,0.0983944
MMEL1,0
MMEL1-AS1,0
LINC01134,0.205685
LINC01346,0
LINC01345,0
LINC02780,0
-,0
EEF1DP6,0
LINC01777,0
-,0
-,0
LINC01646,0.0222571
C1orf174,11.9193
-,0
LINC02781,0
LINC02782,0
-,0
-,0
-,0
-,0
-,0
-,0
-,0
-,0
PRDM16,0.373475
MIR4251,0
-,0
-,0.0652301
-,0.0267871
-,0
-,0
MIR4689,0
MEGF6,0.730661
MIR551A,0
AJAP1,4.2185
-,0.0987717
HES3,1.91111
GPR153,3.60304
HES2,0.107629
ACOT7,50.8287
-,0
ESPN,1.05568
-,0
TNFRSF25,0.764286
MIR4252,0
WRAP73,9.48483
TP73,0
-,0
CCDC27,0
GFOD3P,7.60579
GFOD3P,0
TP73-AS3,0
TP73-AS2,0
TAS1R1,0
NOL9,7.23551
RNU6-731P,0
-,0
ZBTB48,2.51623
PLEKHG5,3.71319
LINC01672,0.098083
-,0
CAMTA1-DT,0.640787
CHD5,0
-,0
RPL22,84.2955
RNF207-AS1,0
ICMT,26.5187
RNF207,0
ICMT-DT,0
VAMP3,7.32906
-,0
KLHL21,3.95037
PHF13,10.0881
TNFRSF9,0.00764316
-,0
PARK7,18.6359
Y_RNA,0
NPHP4,4.47099
KCNAB2,0
ERRFI1-DT,0
RPL7AP18,0
-,0
-,0
LINC01714,0
RNU1-7P,0
-,0
-,0
ERRFI1,11.6422
-,0
RNU6-991P,0
SLC45A1,0.221337
Y_RNA,0
CEP104,2.75471
DFFB,3.18542
THAP3,0
DNAJC11,46.8331
RNU6-304P,0
-,0
HMGN2P17,0
-,0
CA6,0
-,0.0757182
RN7SL451P,0
SLC2A7,0
SLC2A5,0
-,0
GPR157,0.330518
MIR34AHG,1.84187
MIR34A,0
LNCTAM34A,0
-,1.8509
SPSB1,1.59068
-,0
LINC02606,0.0658152
RNA5SP40,0
-,0
SLC25A33,0.686183
-,0.523772
ENO1,255.202
ENO1-AS1,0
MIR6728,0
TMEM201,9.37264
PER3,0.431485
-,0
UTS2,0
-,0.0876067
CAMTA1,15.7052
-,0
CAMTA1-AS3,0
RNU1-8P,0
CAMTA1-IT1,0
CAMTA1-AS2,0
CAMTA1-AS1,0
-,0.0505383
-,0
-,0
RBP7,0.0794054
H6PD,0.811443
CTNNBIP1,6.76677
-,0
-,0
-,0.584865
-,0.192979
PGD,20.0637
LZIC,2.85202
-,0
NMNAT1,1.34759
-,0
RN7SKP269,0.304245
TMEM274P,0
MIR5697,0
-,0
CENPS-CORT,0
CENPS,3.15754
CORT,1.77763
DFFA,15.477
-,0
PEX14,0
-,0.253098
RN7SL614P,0
HSPE1P24,0
C1orf127,0.0354169
CFL1P6,0
UBE4B,4.22119
RPL21P21,0
PGAM1P11,0.248703
RNU6-828P,0
SRM,368.924
PIK3CD,0
CLSTN1,22.6171
PIK3CD-AS1,0
-,0
PIK3CD-AS2,1.61348
MZT1P1,0
TARDBP,76.2571
MASP2,0
EXOSC10-AS1,0
EXOSC10,14.971
-,0
MTCYBP45,0
UBIAD1,5.5043
UBE2V2P3,0.0960766
LINC01647,0.117814
CASZ1,3.01933
-,0
DISP3,0.57267
-,0
AGTRAP,10.8871
NPPB,0
SBF1P2,0
-,1.9805
RNU5E-1,0
RNU5E-4P,0
KIAA2013,15.7412
PLOD1,2.06894
-,0.321053
-,0.0167264
FBXO2,5.8419
FBXO44,2.45026
MAD2L2,117.371
FBXO6,0
DRAXIN,4.49162
-,0
MIIP,3.85033
Y_RNA,0
MIR6729,0
RN7SL649P,0
C1orf167,0
CLCN6,3.40409
-,0
-,0
-,0
C1orf167-AS1,0
MTHFR,2.0988
NPPA,0
MIR7846,0
TNFRSF1B,0.084289
MIR4632,0
RPL10P17,0
SNORA70,0
TNFRSF8,9.37845
RNU6-777P,0
RPL23AP89,0
-,0.192247
LINC02766,0
DHRS3,6.86652
-,0
RNU6ATAC18P,0
MIR6730,0
AADACL4,0.0299771
-,0
AADACL3,0.0541571
CFAP107,0.011448
PRAMEF12,0
PRAMEF1,0
LINC01784,0
PRAMEF11,0
PRAMEF30P,0
MFN2,21.9342
HNRNPCL1,0
PRAMEF2,0
PRAMEF10,0
PRAMEF4,0
PRAMEF7,0
RNU6-1072P,0
PRAMEF29P,0
PRAMEF6,0
PRAMEF28P,0
PRAMEF27,0
PRAMEF25,0
PRAMEF34P,0
PRAMEF35P,0
HNRNPCL2,0
