Time,ENSMUST ID,Transcript,Length (bp),Coverage,FPKM
0,00000155579,204,3350,6.01099,0.864615
0,00000016406,201,3090,1.87709,0.269998
0,00000155503,203,516,0,0
0,00000125391,202,489,0,0
0.167,00000155579,204,3350,4.54408,0.781544
0.167,00000016406,201,3090,1.34884,0.231989
0.167,00000155503,203,516,0,0
0.167,00000125391,202,489,0,0
1,00000155579,204,3350,12.1499,1.69482
1,00000016406,201,3090,0,0
1,00000155503,203,516,0,0
1,00000125391,202,489,0,0
6,00000155579,204,3350,4.51549,0.701334
6,00000016406,201,3090,0,0
6,00000155503,203,516,0,0
6,00000125391,202,489,0,0
24,00000155579,204,3350,8.50475,1.1547
24,00000016406,201,3090,0,0
24,00000155503,203,516,0,0
24,00000125391,202,489,0,0
72,00000155579,204,3350,58.8701,7.84222
72,00000016406,201,3090,0,0
72,00000155503,203,516,0,0
72,00000125391,202,489,0,0
