Time,ENSMUST ID,Transcript,Length (bp),Coverage,FPKM
0,00000110888,204,4999,0,0
0,00000048371,202,4818,0,0
0,00000177333,215,438,0,0
0,00000176886,213,2278,0,0
0,00000176581,212,398,0,0
0,00000175984,211,917,0,0
0,00000177471,216,801,0,0
0,00000175811,210,650,0,0
0,00000175655,209,603,0,0
0,00000140251,207,670,0,0
0,00000142683,208,797,0,0
0,00000101618,203,1043,0,0
0,00000177207,214,1476,0,0
0,00000022587,201,1762,"872.094	",125.86
0,00000134109,206,801,0,0
0,00000133224,205,786,0,0
0.167,00000110888,204,4999,0,0
0.167,00000048371,202,4818,0,0
0.167,00000177333,215,438,0,0
0.167,00000176886,213,2278,0,0
0.167,00000176581,212,398,0,0
0.167,00000175984,211,917,0,0
0.167,00000177471,216,801,0,0
0.167,00000175811,210,650,0,0
0.167,00000175655,209,603,0,0
0.167,00000140251,207,670,0,0
0.167,00000142683,208,797,0,0
0.167,00000101618,203,1043,0,0
0.167,00000177207,214,1476,0,0
0.167,00000022587,201,1762,"843.213	",144.95
0.167,00000134109,206,801,0,0
0.167,00000133224,205,786,0,0
1,00000110888,204,4999,0,0
1,00000048371,202,4818,0,0
1,00000177333,215,438,0,0
1,00000176886,213,2278,0,0
1,00000176581,212,398,0,0
1,00000175984,211,917,0,0
1,00000177471,216,801,0,0
1,00000175811,210,650,0,0
1,00000175655,209,603,0,0
1,00000140251,207,670,0,0
1,00000142683,208,797,0,0
1,00000101618,203,1043,0,0
1,00000177207,214,1476,0,0
1,00000022587,201,1762,1218.91,"	169.909"
1,00000134109,206,801,0,0
1,00000133224,205,786,0,0
6,00000110888,204,4999,0,0
6,00000048371,202,4818,0,0
6,00000177333,215,438,0,0
6,00000176886,213,2278,0,0
6,00000176581,212,398,0,0
6,00000175984,211,917,0,0
6,00000177471,216,801,0,0
6,00000175811,210,650,0,0
6,00000175655,209,603,0,0
6,00000140251,207,670,0,0
6,00000142683,208,797,0,0
6,00000101618,203,1043,0,0
6,00000177207,214,1476,0,0
6,00000022587,201,1762,"1897.85	",294.562
6,00000134109,206,801,0,0
6,00000133224,205,786,0,0
24,00000110888,204,4999,0,0
24,00000048371,202,4818,0,0
24,00000177333,215,438,0,0
24,00000176886,213,2278,0,0
24,00000176581,212,398,0,0
24,00000175984,211,917,0,0
24,00000177471,216,801,0,0
24,00000175811,210,650,0,0
24,00000175655,209,603,0,0
24,00000140251,207,670,0,0
24,00000142683,208,797,0,0
24,00000101618,203,1043,0,0
24,00000177207,214,1476,0,0
24,00000022587,201,1762,"1345.53	",182.455
24,00000134109,206,801,0,0
24,00000133224,205,786,0,0
72,00000110888,204,4999,0,0
72,00000048371,202,4818,0,0
72,00000177333,215,438,0,0
72,00000176886,213,2278,0,0
72,00000176581,212,398,0,0
72,00000175984,211,917,0,0
72,00000177471,216,801,0,0
72,00000175811,210,650,0,0
72,00000175655,209,603,0,0
72,00000140251,207,670,0,0
72,00000142683,208,797,0,0
72,00000101618,203,1043,0,0
72,00000177207,214,1476,0,0
72,00000022587,201,1762,"946.782	",126.806
72,00000134109,206,801,0,0
72,00000133224,205,786,0,0
